Velocidad Bala,Desplazamiento Bala,Estatus Salto
-4,452,0
-4,448,0
-4,444,0
-4,440,0
-4,436,0
-4,432,0
-4,428,0
-4,424,0
-4,420,0
-4,416,0
-4,412,0
-4,408,0
-4,404,0
-4,400,0
-4,396,0
-4,392,0
-4,388,0
-4,384,0
-4,380,0
-4,376,0
-4,372,0
-4,368,0
-4,364,0
-4,360,0
-4,356,0
-4,352,0
-4,348,0
-4,344,0
-4,340,0
-4,336,0
-4,332,0
-4,328,0
-4,324,0
-4,320,0
-4,316,0
-4,312,0
-4,308,0
-4,304,0
-4,300,0
-4,296,0
-4,292,0
-4,288,0
-4,284,0
-4,280,0
-4,276,0
-4,272,0
-4,268,0
-4,264,0
-4,260,0
-4,256,0
-4,252,0
-4,248,0
-4,244,0
-4,240,0
-4,236,0
-4,232,0
-4,228,0
-4,224,0
-4,220,0
-4,216,0
-4,212,0
-4,208,0
-4,204,0
-4,200,0
-4,196,0
-4,192,0
-4,188,0
-4,184,0
-4,180,0
-4,176,0
-4,172,0
-4,168,0
-4,164,0
-4,160,0
-4,156,0
-4,152,0
-4,148,0
-4,144,0
-4,140,0
-4,136,0
-4,132,0
-4,128,0
-4,124,0
-4,120,0
-4,116,0
-4,112,0
-4,108,0
-4,104,0
-4,100,0
-4,96,0
-4,92,0
-4,88,0
-4,84,0
-4,80,0
-4,76,0
-4,72,0
-4,68,0
-4,64,0
-4,60,0
-4,56,0
-4,52,0
-4,48,0
-4,44,0
-4,40,0
-4,36,0
-4,32,0
